epoch,accuracy,loss,val_accuracy,val_loss
0,0.7329999804496765,0.8997167348861694,0.7749999761581421,0.5247739553451538
1,0.8320000171661377,0.4306466281414032,0.8487499952316284,0.34432411193847656
2,0.8790000081062317,0.3322141170501709,0.8287500143051147,0.44471195340156555
3,0.8840000033378601,0.36783263087272644,0.7875000238418579,0.7572886943817139
4,0.9160000085830688,0.22069351375102997,0.8962500095367432,0.3471389710903168
5,0.9190000295639038,0.24905821681022644,0.887499988079071,0.3543298840522766
6,0.9160000085830688,0.21645961701869965,0.9037500023841858,0.3481270670890808
7,0.9409999847412109,0.19449257850646973,0.8787500262260437,0.4082637131214142
8,0.9480000138282776,0.1262630969285965,0.8824999928474426,0.4100097417831421
9,0.9589999914169312,0.12947377562522888,0.8999999761581421,0.45918500423431396
